"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"Antenna","desc","A1,","CA-C03","libref","2","1","","",
"1uF","desc","C1,C14,","C_0402_1005Metric","libref","2","2","","",
"10uF","desc","C2,C4,C11,C12,C13,","C_0402_1005Metric","libref","2","5","","",
"0.1uF","desc","C5,C7,C8,C10,","C_0402_1005Metric","libref","2","4","","",
"10nF","desc","C6,","C_0402_1005Metric","libref","2","1","","",
"2.2nF","desc","C9,","C_0402_1005Metric","libref","2","1","","",
"ORANGE","desc","D1,","LED_0402_1005Metric","libref","2","1","","",
"GREEN","desc","D2,","LED_0402_1005Metric","libref","2","1","","",
"SW_MEC_5E","desc","K1,K2,","SKSCLCE010","libref","4","2","","",
"10K","desc","R1,R6,R9,R12,R13,","R_0402_1005Metric","libref","2","5","","",
"200R","desc","R3,","R_0402_1005Metric","libref","2","1","","",
"12K","desc","R4,R5,","R_0402_1005Metric","libref","2","2","","",
"5.1K","desc","R7,R8,","R_0402_1005Metric","libref","2","2","","",
"1K","desc","R14,","R_0402_1005Metric","libref","2","1","","",
"560K","desc","R16,","R_0402_1005Metric","libref","2","1","","",
"4.7K","desc","R17,","R_0402_1005Metric","libref","2","1","","",
"CP2102N-A01-GQFN28","desc","U1,","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","libref","38","1","","",
"ME6211C33M5G","desc","U2,","SOT-23-5","libref","5","1","","",
"MPU-6050","desc","U3,","InvenSense_QFN-24_4x4mm_P0.5mm","libref","24","1","","",
"ESP32PICO_D4","desc","U4,","ESP32_PICO_D4","libref","64","1","","",
"OLED-12880","desc","U5,","OLED-12880","libref","13","1","","",
"S8050","desc","VT1,VT2,","SOT-23","libref","3","2","","",
"Through Hole Items ",
"Conn_01x12","desc","P2,","12pin","libref","12","1","","",
"Conn_01x18","desc","P3,","18pin","libref","18","1","","",
"USB_C_16_PIN","desc","USB1,","USB_C_Receptacle_HRO_TYPE-C-31-M-12","libref","22","1","","",
"MountingHole_2.2mm_M2","desc","REF**,REF**,REF**,REF**,","MountingHole_2.2mm_M2","libref","1","4","","",
